Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SBNY,Signature Bank Common Stock,$255.06,1.52,0.60%,14697809800.00,United States,2004,280131,Finance,Major Banks
SBUX,Starbucks Corporation Common Stock,$114.34,-0.40,-0.349%,134726822000.00,United States,1992,4866829,,
SEDG,SolarEdge Technologies Inc. Common Stock,$220.40,6.27,2.928%,11455553378.00,Israel,2015,957486,Technology,Semiconductors
SGEN,Seagen Inc. Common Stock,$139.49,3.42,2.513%,25314237331.00,United States,2001,617021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SIRI,Sirius XM Holdings Inc. Common Stock,$6.04,0.06,1.003%,24708226996.00,United States,,15993573,Consumer Services,Broadcasting
SIVB,SVB Financial Group Common Stock,$587.98,9.02,1.558%,31928370600.00,United States,,335368,Finance,Major Banks
SNPS,Synopsys Inc. Common Stock,$241.84,4.38,1.845%,36849925498.00,United States,1992,617668,Technology,EDP Services
SNY,Sanofi ADR,$51.82,0.81,1.588%,129443328115.00,France,,2162548,Health Care,Major Pharmaceuticals
SPLK,Splunk Inc. Common Stock,$117.82,1.04,0.891%,19311012344.00,United States,2012,1644171,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$73.35,0.11,0.15%,18754084357.00,United States,2010,990059,Technology,EDP Services
STLD,Steel Dynamics Inc.,$63.36,1.71,2.774%,13382833052.00,United States,1996,2881768,Basic Industries,Steel/Iron Ore
STNE,StoneCo Ltd. Class A Common Shares,$62.49,1.21,1.975%,19376878953.00,Brazil,2018,1965264,Technology,EDP Services
STX,Seagate Technology PLC Ordinary Shares (Ireland),$91.56,1.57,1.745%,20955645299.00,Ireland,2002,4629696,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$175.12,-0.81,-0.46%,28911004204.00,United States,,1918093,Technology,Semiconductors
TCOM,Trip.com Group Limited American Depositary Shares,$39.22,-0.07,-0.178%,25001040479.00,China,,3267682,Consumer Services,Hotels/Resorts
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,$219.63,0.86,0.393%,54921066545.00,United Kingdom,2015,836511,Technology,Computer Software: Prepackaged Software
TECH,Bio-Techne Corp Common Stock,$423.05,12.07,2.937%,16413846724.00,United States,,216439,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TER,Teradyne Inc. Common Stock,$128.17,2.23,1.771%,21348634512.00,United States,,1269823,Capital Goods,Electrical Products
TMUS,T-Mobile US Inc. Common Stock,$139.12,0.24,0.173%,173462854493.00,United States,,5831480,Public Utilities,Telecommunications Equipment
TRMB,Trimble Inc. Common Stock,$79.33,3.41,4.492%,19939014170.00,United States,1990,1904545,Capital Goods,Industrial Machinery/Components
TROW,T. Rowe Price Group Inc. Common Stock,$189.23,0.79,0.419%,42927880457.00,United States,1986,732545,Finance,Investment Managers
TSCO,Tractor Supply Company Common Stock,$195.46,0.57,0.292%,22712561653.00,United States,1994,637449,Consumer Services,Other Specialty Stores
TSLA,Tesla Inc. Common Stock,$672.37,8.83,1.331%,647714493322.00,United States,2010,23421564,Capital Goods,Auto Manufacturing
TTD,The Trade Desk Inc. Class A Common Stock,$661.43,49.13,8.024%,31438119119.00,United States,2016,1130906,Technology,EDP Services
TTWO,Take-Two Interactive Software Inc. Common Stock,$170.07,1.43,0.848%,19588262936.00,United States,1997,822151,Technology,Computer Software: Prepackaged Software
TW,Tradeweb Markets Inc. Class A Common Stock,$82.53,0.31,0.377%,19165496321.00,United States,2019,538533,Finance,Investment Bankers/Brokers/Service
TXG,10x Genomics Inc. Class A Common Stock,$146.36,1.91,1.322%,15917045465.00,United States,2019,1090454,Health Care,Managed Health Care
TXN,Texas Instruments Incorporated Common Stock,$187.76,3.49,1.894%,173400776678.00,United States,,4591369,Technology,Semiconductors
UAL,United Airlines Holdings Inc. Common Stock,$54.73,1.68,3.167%,17709437841.00,United States,,11803443,Transportation,Air Freight/Delivery Services
UHAL,Amerco Common Stock,$620.41,8.67,1.417%,12164867753.00,United States,,45746,Miscellaneous,Rental/Leasing Companies
ULTA,Ulta Beauty Inc. Common Stock,$322.74,5.78,1.824%,17876165175.00,United States,2007,781795,,
VIAC,ViacomCBS Inc. Class B Common Stock,$39.39,1.24,3.25%,24746662447.00,United States,,25457436,Consumer Services,Movies/Entertainment
VIACA,ViacomCBS Inc. Class A Common Stock,$44.32,0.82,1.885%,27843921799.00,United States,,108248,Consumer Services,Movies/Entertainment
VOD,Vodafone Group Plc American Depositary Shares,$20.02,0.07,0.351%,56202026160.00,United Kingdom,,2515613,Public Utilities,Telecommunications Equipment
VRSK,Verisk Analytics Inc. Common Stock,$178.77,3.75,2.143%,28977044897.00,United States,2009,1284379,Miscellaneous,Business Services
VRSN,VeriSign Inc. Common Stock,$222.89,-0.35,-0.157%,25101605224.00,United States,1998,477465,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$215.01,1.85,0.868%,55658707922.00,United States,1991,1232028,Health Care,Major Pharmaceuticals
VTRS,Viatris Inc. Common Stock,$14.08,0.15,1.077%,17017699227.00,United States,,12728028,Consumer Durables,Specialty Chemicals
WB,Weibo Corporation American Depositary Share,$47.91,-0.24,-0.498%,10916190541.00,China,2014,764745,Technology,Internet and Information Services
WBA,Walgreens Boots Alliance Inc. Common Stock,$54.53,0.07,0.129%,47135427614.00,United States,,4118943,Health Care,Medical/Nursing Services
WDAY,Workday Inc. Class A Common Stock,$236.71,1.78,0.758%,57743142263.00,United States,,1384100,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,$71.65,2.04,2.931%,21931862875.00,United States,,4204524,Technology,Electronic Components
WIX,Wix.com Ltd. Ordinary Shares,$288.79,10.79,3.881%,16289861568.00,Israel,2013,554503,,
WLTW,Willis Towers Watson Public Limited Company Ordinary Shares,$270.07,3.56,1.336%,34832751413.00,United Kingdom,,1075276,Finance,Specialty Insurers
WMG,Warner Music Group Corp. Class A Common Stock,$36.63,1.17,3.299%,18841837532.00,United States,2020,536676,Consumer Services,Movies/Entertainment
WYNN,Wynn Resorts Limited Common stock,$126.29,3.51,2.859%,14604220812.00,United States,2002,1654475,Consumer Services,Hotels/Resorts
XEL,Xcel Energy Inc. Common Stock,$71.32,-0.23,-0.321%,38384908976.00,United States,,1962569,Public Utilities,Power Generation
XLNX,Xilinx Inc. Common Stock,$124.43,2.29,1.875%,30579806431.00,United States,1990,2016044,Technology,Semiconductors
XM,Qualtrics International Inc. Class A Common Stock,$35.61,-0.13,-0.364%,18248435875.00,United States,2021,4199461,Technology,Computer Software: Prepackaged Software
XP,XP Inc. Class A Common Stock,$44.78,2.32,5.464%,25034660453.00,Brazil,2019,1615559,Finance,Investment Bankers/Brokers/Service
XRAY,DENTSPLY SIRONA Inc. Common Stock,$68.47,1.08,1.603%,14939431025.00,United States,1987,1959390,Health Care,Medical/Dental Instruments
YNDX,Yandex N.V. Class A Ordinary Shares,$65.605,0.675,1.04%,22966632324.00,Netherlands,2011,875111,Technology,Internet and Information Services
Z,Zillow Group Inc. Class C Capital Stock,$118.545,4.795,4.215%,29358569362.00,United States,,4217359,Miscellaneous,Business Services
ZBRA,Zebra Technologies Corporation Class A Common Stock,$488.58,17.17,3.642%,26138668939.00,United States,1991,330664,Technology,Computer peripheral equipment
ZG,Zillow Group Inc. Class A Common Stock,$119.40,5.26,4.608%,29570316604.00,United States,2011,704934,Miscellaneous,Business Services
ZI,ZoomInfo Technologies Inc. Class A Common Stock,$42.98,-2.59,-5.684%,16820641281.00,United States,2020,3146535,Technology,Computer Software: Prepackaged Software
ZLAB,Zai Lab Limited American Depositary Shares,$158.14,2.56,1.645%,11919883310.00,China,2017,586076,Health Care,Major Pharmaceuticals
ZM,Zoom Video Communications Inc. Class A Common Stock,$295.24,2.19,0.747%,86716134646.00,United States,2019,2444335,Consumer Services,Telecommunications Equipment
ZNGA,Zynga Inc. Class A Common Stock,$10.99,0.28,2.614%,11924345699.00,United States,2011,15033638,Technology,EDP Services
ZS,Zscaler Inc. Common Stock,$169.32,1.97,1.177%,23017400252.00,United States,2018,1524373,Technology,EDP Services
