Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FOX,Fox Corporation Class B Common Stock,$37.17,0.47,1.281%,21950491562.00,United States,,1049927,Consumer Services,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$38.32,0.75,1.996%,22629616267.00,United States,,2264280,Consumer Services,Broadcasting
FTNT,Fortinet Inc. Common Stock,$211.77,5.26,2.547%,34585779164.00,United States,2009,808072,Miscellaneous,Diversified Manufacture
FUTU,Futu Holdings Limited American Depositary Shares,$130.00,-4.33,-3.223%,19067413430.00,Hong Kong,2019,5541788,Finance,Investment Bankers/Brokers/Service
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$44.25,-1.38,-3.024%,10258075754.00,United States,,1870304,Consumer Services,Broadcasting
GDRX,GoodRx Holdings Inc. Class A Common Stock,$34.74,-0.34,-0.969%,13640952990.00,United States,2020,1082336,Technology,Retail: Computer Software & Peripheral Equipment
GDS,GDS Holdings Limited ADS,$74.39,0.55,0.745%,13903308670.00,China,2016,3012336,Technology,Computer Software: Programming Data Processing
GH,Guardant Health Inc. Common Stock,$135.39,0.77,0.572%,13690299679.00,United States,2018,2143742,Health Care,Medical Specialities
GILD,Gilead Sciences Inc. Common Stock,$66.54,0.00,0.00%,83777589101.00,United States,1992,5847219,Health Care,Major Pharmaceuticals
GLPI,Gaming and Leisure Properties Inc. Common Stock,$47.11,1.61,3.538%,10966755226.00,United States,,797939,Consumer Services,Real Estate Investment Trusts
GMAB,Genmab A/S ADS,$37.40,0.18,0.484%,24442936430.00,Denmark,2019,573472,Health Care,Biotechnology: Commercial Physical & Biological Resarch
GOOG,Alphabet Inc. Class C Capital Stock,$2398.69,17.34,0.728%,1607515188631.00,United States,2004,1163566,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,$2351.93,14.58,0.624%,1576178329670.00,United States,,1444455,Technology,Internet and Information Services
GRFS,Grifols S.A. American Depositary Shares,$18.23,0.26,1.447%,12422613172.00,Spain,,247127,Health Care,Major Pharmaceuticals
GRMN,Garmin Ltd. Common Stock (Switzerland),$143.56,2.22,1.571%,27584286672.00,Switzerland,2000,510802,Capital Goods,Industrial Machinery/Components
HAS,Hasbro Inc. Common Stock,$99.15,-0.28,-0.282%,13639928376.00,United States,,583429,Consumer Non-Durables,Recreational Products/Toys
HBAN,Huntington Bancshares Incorporated Common Stock,$15.80,0.08,0.509%,16085236183.00,United States,,7776707,Finance,Major Banks
HOLX,Hologic Inc. Common Stock,$65.63,0.47,0.721%,16816573562.00,United States,1990,2416790,Health Care,Medical Electronics
HSIC,Henry Schein Inc. Common Stock,$80.61,0.69,0.863%,11341512137.00,United States,1995,1037040,Health Care,Medical Specialities
HST,Host Hotels & Resorts Inc. Common Stock,$17.58,0.46,2.687%,12400308771.00,United States,,9346235,Consumer Services,Real Estate Investment Trusts
HTHT,Huazhu Group Limited American Depositary Shares,$57.40,1.10,1.954%,18471404206.00,China,2010,1279711,Consumer Services,Hotels/Resorts
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,$87.93,-1.95,-2.17%,19707583042.00,Ireland,2011,1194974,Health Care,Major Pharmaceuticals
IAC,IAC/InterActiveCorp Common Stock,$241.40,10.72,4.647%,21515919719.00,United States,,613529,Consumer Services,EDP Services
IBKR,Interactive Brokers Group Inc. Class A Common Stock,$69.60,-0.02,-0.029%,29008621723.00,United States,2019,868611,Finance,Investment Bankers/Brokers/Service
ICLR,ICON plc Ordinary Shares,$228.82,5.70,2.555%,12095583086.00,Ireland,1998,918247,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IDXX,IDEXX Laboratories Inc. Common Stock,$544.26,11.08,2.078%,46414848746.00,United States,1991,361075,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
IEP,Icahn Enterprises L.P. Common Stock,$59.55,1.98,3.439%,14371727624.00,United States,,298793,,
ILMN,Illumina Inc. Common Stock,$383.94,6.85,1.817%,56055240000.00,United States,2000,703694,Health Care,Medical Specialities
INCY,Incyte Corp. Common Stock,$82.74,0.43,0.522%,18196468487.00,United States,,1113148,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INTC,Intel Corporation Common Stock,$57.67,0.48,0.839%,232871460000.00,United States,,19955074,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$401.04,6.97,1.769%,109820745074.00,United States,1993,965535,Technology,Computer Software: Prepackaged Software
IPGP,IPG Photonics Corporation Common Stock,$197.30,-0.03,-0.015%,10582873288.00,United States,2006,334712,Technology,Semiconductors
IQ,iQIYI Inc. American Depositary Shares,$13.74,-0.37,-2.622%,10844774636.00,China,2018,11029446,Technology,Internet and Information Services
ISRG,Intuitive Surgical Inc. Common Stock,$857.09,14.63,1.737%,101490502176.00,United States,2000,490588,Health Care,Medical/Dental Instruments
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$178.27,3.37,1.927%,18837970240.00,United States,,480084,Transportation,Trucking Freight/Courier Services
JD,JD.com Inc. American Depositary Shares,$75.51,-0.88,-1.152%,117718976907.00,China,2014,7797512,Miscellaneous,Business Services
JKHY,Jack Henry & Associates Inc. Common Stock,$156.13,-2.34,-1.477%,11877944009.00,United States,1985,470356,Technology,Retail: Computer Software & Peripheral Equipment
KDP,Keurig Dr Pepper Inc. Common Stock,$36.60,0.27,0.743%,51876463825.00,United States,,3212209,Consumer Non-Durables,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$43.48,0.36,0.835%,53182446343.00,United States,,5147578,Consumer Non-Durables,Farming/Seeds/Milling
KLAC,KLA Corporation Common Stock,$319.70,3.81,1.206%,49004186025.00,United States,1980,848298,Capital Goods,Electronic Components
LAMR,Lamar Advertising Company Class A Common Stock,$105.98,2.78,2.694%,10713665830.00,United States,1996,639603,Consumer Services,Real Estate Investment Trusts
LBRDA,Liberty Broadband Corporation Class A Common Stock,$161.65,4.10,2.602%,31378952593.00,United States,,90996,Consumer Services,Television Services
LBRDK,Liberty Broadband Corporation Class C Common Stock,$166.37,4.04,2.489%,32295183068.00,United States,,813283,Consumer Services,Television Services
LBTYA,Liberty Global plc Class A Ordinary Shares,$27.72,-0.50,-1.772%,15643984994.00,United Kingdom,,1709758,,
LBTYB,Liberty Global plc Class B Ordinary Shares,$28.30,0.00,0.00%,16141752613.00,United Kingdom,,175,Consumer Services,Television Services
LBTYK,Liberty Global plc Class C Ordinary Shares,$27.80,-0.45,-1.593%,15689133579.00,United Kingdom,,1491929,,
LI,Li Auto Inc. American Depositary Shares,$18.26,0.27,1.501%,16518802270.00,China,2020,6995883,Capital Goods,Auto Manufacturing
LKQ,LKQ Corporation Common Stock,$49.78,0.71,1.447%,15041519075.00,United States,,1780553,Capital Goods,Automotive Aftermarket
LNT,Alliant Energy Corporation Common Stock,$56.74,0.17,0.301%,14192384427.00,United States,,1722355,Public Utilities,Power Generation
LOGI,Logitech International S.A. Ordinary Shares,$114.56,2.69,2.405%,19281249920.00,United States,1997,920478,Technology,Computer peripheral equipment
LPLA,LPL Financial Holdings Inc. Common Stock,$156.00,-0.54,-0.345%,12471136548.00,United States,2010,418591,Finance,Investment Bankers/Brokers/Service
LRCX,Lam Research Corporation Common Stock,$630.54,13.10,2.122%,89927202427.00,United States,1984,1033537,Technology,Industrial Machinery/Components
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,$42.61,0.11,0.259%,16046974362.00,United States,,918506,Consumer Services,Broadcasting
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,$46.49,0.00,0.00%,17508186766.00,United States,,1,Consumer Services,Broadcasting
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,$42.85,0.08,0.187%,16137358635.00,United States,,860166,Consumer Services,Broadcasting
LULU,lululemon athletica inc. Common Stock,$330.24,8.96,2.789%,44758615734.00,Canada,2007,859870,,
LYFT,Lyft Inc. Class A Common Stock,$50.07,0.27,0.542%,16490460969.00,United States,2019,7760286,Technology,EDP Services
MAR,Marriott International Class A Common Stock,$146.69,4.10,2.875%,47756100526.00,United States,,2965817,Consumer Services,Hotels/Resorts
MASI,Masimo Corporation Common Stock,$224.16,2.71,1.224%,12328896837.00,United States,2007,429974,Health Care,Medical/Dental Instruments
MCHP,Microchip Technology Incorporated Common Stock,$149.75,3.24,2.211%,40321986447.00,United States,1993,2442388,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$260.32,3.70,1.442%,15928051718.00,United States,2017,963229,Technology,Retail: Computer Software & Peripheral Equipment
MDLZ,Mondelez International Inc. Class A Common Stock,$61.85,0.13,0.211%,86881389204.00,United States,,5903054,Consumer Non-Durables,Meat/Poultry/Fish
MELI,MercadoLibre Inc. Common Stock,$1481.26,34.92,2.414%,73844246042.00,Argentina,2007,642250,Consumer Services,Catalog/Specialty Distribution
MIDD,Middleby Corporation (The) Common Stock,$182.83,3.46,1.929%,10170467971.00,United States,,468543,Capital Goods,Diversified Manufacture
MKSI,MKS Instruments Inc. Common Stock,$183.34,3.79,2.111%,10149068960.00,United States,1999,224782,Capital Goods,Industrial Machinery/Components
MKTX,MarketAxess Holdings Inc. Common Stock,$437.17,-1.44,-0.328%,16604894336.00,United States,2004,598831,Finance,Investment Bankers/Brokers/Service
MNST,Monster Beverage Corporation,$91.25,-3.77,-3.968%,48231055288.00,United States,,6011895,Consumer Non-Durables,Beverages (Production/Distribution)
MORN,Morningstar Inc. Common Stock,$262.10,0.82,0.314%,11256142406.00,United States,2005,64845,Technology,Advertising
MPWR,Monolithic Power Systems Inc. Common Stock,$342.79,9.41,2.823%,15678186230.00,United States,2004,295516,Technology,Semiconductors
MRNA,Moderna Inc. Common Stock,$163.15,2.65,1.651%,65345716889.00,United States,2018,11925889,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRVL,Marvell Technology Inc. Common Stock,$45.96,0.42,0.922%,31055172000.00,Bermuda,2000,5897441,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$252.46,2.73,1.093%,1901421311145.00,United States,1986,27009992,Technology,Computer Software: Prepackaged Software
MTCH,Match Group Inc. Common Stock,$146.19,6.23,4.451%,39320985834.00,United States,,1977543,,
MU,Micron Technology Inc. Common Stock,$85.98,1.18,1.392%,96419309935.00,United States,,12741887,Technology,Semiconductors
MXIM,Maxim Integrated Products Inc. Common Stock,$96.58,1.30,1.364%,25918561703.00,United States,1988,2658423,Technology,Semiconductors
NDAQ,Nasdaq Inc. Common Stock,$164.56,0.98,0.599%,27003198878.00,United States,,492839,,
NDSN,Nordson Corporation Common Stock,$208.83,0.25,0.12%,12130027751.00,United States,,125927,Capital Goods,Industrial Machinery/Components
NFLX,Netflix Inc. Common Stock,$503.84,4.29,0.859%,223404034506.00,United States,2002,3131071,Consumer Services,Movies/Entertainment
NICE,NICE Ltd American Depositary Shares,$233.84,1.87,0.806%,14760317763.00,Israel,,132200,Technology,Computer Software: Prepackaged Software
